,Season,Team_1,Team_2,T1_COL,T1_DOL,T1_MOR,T1_POM,T1_RTH,T1_SAG,T1_WLK,T1_WOL,T1_Seed,T2_COL,T2_DOL,T2_MOR,T2_POM,T2_RTH,T2_SAG,T2_WLK,T2_WOL,T2_Seed,Result
0,2003,1411,1421,212,239,293,268,256,257,240,246,16,213,258,277,273,250,251,237,220,16,0
1,2003,1112,1436,2,2,4,3,2,2,2,2,1,144,156,187,144,182,158,153,177,16,1
2,2003,1113,1272,38,48,22,32,35,32,34,39,10,19,21,23,20,19,24,21,19,7,1
3,2003,1141,1166,35,37,50,50,55,48,32,49,11,18,18,33,27,22,18,19,17,6,1
4,2003,1143,1301,28,25,43,40,30,40,33,26,8,56,49,31,48,42,46,51,47,9,1
5,2003,1140,1163,23,36,42,26,33,28,25,30,12,30,26,17,23,27,23,26,32,5,0
6,2003,1161,1181,75,91,85,87,81,89,92,76,14,11,9,10,8,4,10,5,9,3,0
7,2003,1153,1211,46,54,39,35,41,42,45,45,8,40,50,54,41,45,39,38,43,9,0
8,2003,1228,1443,15,12,5,5,11,11,10,14,4,53,55,59,52,69,60,53,63,13,1
9,2003,1242,1429,7,11,2,4,5,4,4,12,2,74,89,128,109,112,101,89,95,15,1
10,2003,1221,1266,59,42,105,80,97,68,59,68,14,10,10,18,13,13,14,13,8,3,0
11,2003,1281,1356,24,20,24,24,21,22,24,23,6,31,31,72,57,47,50,44,35,11,1
12,2003,1323,1454,22,17,36,22,18,17,20,18,5,48,51,52,56,57,44,50,48,12,1
13,2003,1328,1354,3,6,6,9,9,8,8,6,1,180,190,238,230,240,231,205,211,16,1
14,2003,1360,1390,91,100,77,82,91,87,80,93,13,17,23,25,30,24,29,28,21,4,0
15,2003,1173,1409,13,15,32,31,23,26,22,15,4,57,79,35,53,59,58,55,61,13,0
16,2003,1451,1458,34,65,100,60,78,59,67,53,12,21,24,15,16,15,19,18,20,5,0
17,2003,1120,1386,44,43,44,45,40,43,47,40,10,27,22,38,18,28,20,16,27,7,1
18,2003,1139,1280,29,28,74,51,44,35,29,29,12,25,19,8,11,16,16,17,22,5,1
19,2003,1196,1358,14,8,7,6,10,7,11,11,2,87,93,169,134,143,138,102,115,15,1
20,2003,1104,1231,43,39,26,33,31,37,36,37,10,39,35,34,46,37,41,37,36,7,0
21,2003,1237,1246,148,139,145,133,157,162,144,155,16,1,1,1,1,1,1,1,1,1,0
22,2003,1122,1257,69,66,151,123,106,103,77,75,13,6,16,14,14,8,6,6,10,4,0
23,2003,1268,1423,37,32,9,19,20,21,27,28,6,58,53,48,47,75,51,41,64,11,1
24,2003,1160,1277,45,38,30,28,38,33,40,41,10,42,45,16,25,29,36,35,38,7,0
25,2003,1329,1335,26,27,29,29,26,25,23,24,6,50,34,83,43,58,49,46,55,11,1
26,2003,1338,1447,5,3,3,2,3,3,3,3,2,123,145,190,188,191,174,148,168,15,1
27,2003,1261,1345,36,30,11,21,25,27,30,31,8,33,40,37,38,32,34,39,34,9,0
28,2003,1264,1393,52,57,88,63,77,69,48,62,14,9,5,21,15,12,12,14,5,3,0
29,2003,1400,1421,4,7,12,7,6,5,7,7,1,213,258,277,273,250,251,237,220,16,1
30,2003,1332,1428,32,29,27,42,36,30,43,33,8,20,33,66,37,34,38,31,25,9,0
31,2003,1190,1448,120,105,149,147,147,133,123,125,15,8,4,20,12,7,9,9,4,2,0
32,2003,1407,1462,66,56,108,69,93,78,57,66,14,16,14,19,17,17,13,15,16,3,0
33,2003,1112,1211,2,2,4,3,2,2,2,2,1,40,50,54,41,45,39,38,43,9,1
34,2003,1163,1390,30,26,17,23,27,23,26,32,5,17,23,25,30,24,29,28,21,4,1
35,2003,1141,1181,35,37,50,50,55,48,32,49,11,11,9,10,8,4,10,5,9,3,0
36,2003,1113,1242,38,48,22,32,35,32,34,39,10,7,11,2,4,5,4,4,12,2,0
37,2003,1266,1281,10,10,18,13,13,14,13,8,3,24,20,24,24,21,22,24,23,6,1
38,2003,1228,1323,15,12,5,5,11,11,10,14,4,22,17,36,22,18,17,20,18,5,0
39,2003,1143,1328,28,25,43,40,30,40,33,26,8,3,6,6,9,9,8,8,6,1,0
40,2003,1409,1458,57,79,35,53,59,58,55,61,13,21,24,15,16,15,19,18,20,5,0
41,2003,1120,1448,44,43,44,45,40,43,47,40,10,8,4,20,12,7,9,9,4,2,1
42,2003,1139,1257,29,28,74,51,44,35,29,29,12,6,16,14,14,8,6,6,10,4,1
43,2003,1246,1428,1,1,1,1,1,1,1,1,1,20,33,66,37,34,38,31,25,9,1
44,2003,1268,1462,37,32,9,19,20,21,27,28,6,16,14,19,17,17,13,15,16,3,1
45,2003,1196,1277,14,8,7,6,10,7,11,11,2,42,45,16,25,29,36,35,38,7,0
46,2003,1231,1338,39,35,34,46,37,41,37,36,7,5,3,3,2,3,3,3,3,2,0
47,2003,1329,1393,26,27,29,29,26,25,23,24,6,9,5,21,15,12,12,14,5,3,0
48,2003,1345,1400,33,40,37,38,32,34,39,34,9,4,7,12,7,6,5,7,7,1,0
49,2003,1112,1323,2,2,4,3,2,2,2,2,1,22,17,36,22,18,17,20,18,5,1
50,2003,1181,1242,11,9,10,8,4,10,5,9,3,7,11,2,4,5,4,4,12,2,0
51,2003,1246,1458,1,1,1,1,1,1,1,1,1,21,24,15,16,15,19,18,20,5,1
52,2003,1266,1338,10,10,18,13,13,14,13,8,3,5,3,3,2,3,3,3,3,2,1
53,2003,1268,1277,37,32,9,19,20,21,27,28,6,42,45,16,25,29,36,35,38,7,0
54,2003,1139,1328,29,28,74,51,44,35,29,29,12,3,6,6,9,9,8,8,6,1,0
55,2003,1120,1393,44,43,44,45,40,43,47,40,10,9,5,21,15,12,12,14,5,3,0
56,2003,1163,1400,30,26,17,23,27,23,26,32,5,4,7,12,7,6,5,7,7,1,0
57,2003,1112,1242,2,2,4,3,2,2,2,2,1,7,11,2,4,5,4,4,12,2,0
58,2003,1246,1266,1,1,1,1,1,1,1,1,1,10,10,18,13,13,14,13,8,3,0
59,2003,1328,1393,3,6,6,9,9,8,8,6,1,9,5,21,15,12,12,14,5,3,0
60,2003,1277,1400,42,45,16,25,29,36,35,38,7,4,7,12,7,6,5,7,7,1,0
61,2003,1242,1266,7,11,2,4,5,4,4,12,2,10,10,18,13,13,14,13,8,3,1
62,2003,1393,1400,9,5,21,15,12,12,14,5,3,4,7,12,7,6,5,7,7,1,1
63,2003,1242,1393,7,11,2,4,5,4,4,12,2,9,5,21,15,12,12,14,5,3,0
64,2004,1197,1250,261,276,255,276,289,287,275,287,16,181,182,212,218,224,222,194,204,16,1
65,2004,1104,1356,39,45,27,34,28,33,36,31,8,22,19,58,45,39,36,31,27,9,1
66,2004,1163,1436,9,10,3,8,10,7,9,8,2,114,118,161,162,166,150,129,135,15,1
67,2004,1173,1177,33,38,56,61,53,56,51,42,10,38,41,44,52,45,47,43,38,7,0
68,2004,1106,1181,241,274,270,278,282,263,254,263,16,2,3,1,1,1,1,2,3,1,0
69,2004,1211,1434,8,4,22,2,5,3,5,9,2,130,131,134,132,141,151,131,143,15,1
70,2004,1196,1264,19,24,18,18,17,19,19,18,5,46,53,70,56,65,57,44,56,12,0
71,2004,1268,1431,23,18,17,16,14,17,18,14,4,44,36,79,43,49,42,48,50,13,1
72,2004,1277,1305,45,52,25,37,41,44,40,47,7,35,35,36,22,44,25,25,52,10,0
73,2004,1102,1314,49,39,61,47,51,43,46,48,11,21,17,11,11,13,13,14,15,6,0
74,2004,1112,1371,36,44,26,33,33,32,33,41,9,28,40,32,28,31,34,37,35,8,0
